Fecha del hecho,Dia de la Semana,Hora del hecho (HH:MM),Genero,Comuna,Modalidad,Arma/medio,Móvil agresor,Móvil víctima,Edad,Descripcion Conducta
2014-02-22T00:00:00.000,sábado,1899-12-31T13:00:00.000,Masculino,4,Raponazo,Arma blanca,A pie,A pie,Sin dato,Hurto a Personas
2014-01-01T00:00:00.000,miércoles,1899-12-31T17:00:00.000,Femenino,6,Atraco,Arma blanca,Motocicleta,A pie,Sin dato,Hurto a Personas
2014-01-01T00:00:00.000,miércoles,1899-12-31T03:00:00.000,Femenino,9,Violación cerraduras,Sin empleo de arma,A pie,Sin dato,Sin dato,Hurto a Residencias
2014-01-01T00:00:00.000,miércoles,1899-12-31T08:00:00.000,Masculino,3,Halado,Llave maestra,A pie,Motocicleta,Sin dato,Hurto de motos
2014-01-01T00:00:00.000,miércoles,1899-12-31T00:00:00.000,Masculino,10,Atraco,Arma de fuego,A pie,A pie,Sin dato,Hurto a Personas
2014-01-01T00:00:00.000,miércoles,1899-12-31T04:00:00.000,Masculino,6,Rompimiento vidrio,Contundente,A pie,Sin dato,Sin dato,Hurto a Personas
2014-01-01T00:00:00.000,miércoles,1899-12-31T00:00:00.000,Masculino,7,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-01T00:00:00.000,miércoles,1899-12-31T17:40:00.000,Masculino,Corregimiento Río Las Ceibas,Atraco,Arma de fuego,Motocicleta,Vehículo,Sin dato,Hurto a Personas
2014-01-01T00:00:00.000,miércoles,1899-12-31T16:00:00.000,Masculino,2,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
2014-01-01T00:00:00.000,miércoles,1899-12-31T21:00:00.000,Masculino,8,Atraco,Arma blanca,Vehículo,Conductor de taxi,Sin dato,Hurto a Personas
2014-01-02T00:00:00.000,jueves,1899-12-31T23:00:00.000,Femenino,8,Engaño,Sin empleo de arma,A pie,A pie,Sin dato,Hurto a Personas
